age,height_cm,weight_kg,gender_enc,bmi,activity_level,goal,diet_pref,sleep_hours,workout_freq,calorie_target,diet_category,exercise_category
54,167.1,95.1,0,34.04,3,3,2,6.9,4.0,3585.0,3,2
44,164.2,55.5,1,20.59,4,0,1,5.3,5.0,1831.0,0,3
30,173.9,83.4,1,27.56,4,2,1,7.1,4.0,3358.0,1,2
58,175.6,51.5,0,16.71,4,3,2,5.7,5.0,3122.0,3,2
23,170.0,68.7,0,23.77,2,0,3,6.5,3.0,2091.0,3,3
36,164.9,78.4,0,28.84,2,3,4,7.0,3.0,3141.0,4,2
54,180.4,56.6,1,17.39,1,2,2,6.5,2.0,2036.0,3,1
34,154.3,79.6,0,33.47,4,0,0,6.9,5.0,2582.0,4,3
38,178.2,65.5,0,20.63,1,0,2,7.3,0.0,1729.0,3,0
26,175.0,63.8,1,20.82,3,2,0,7.0,2.0,2785.0,1,2
26,172.4,99.2,1,33.37,1,3,2,7.1,0.0,3045.0,3,2
39,169.9,78.4,1,27.16,4,3,2,5.3,5.0,3430.0,3,2
51,150.0,80.8,0,35.91,2,2,0,6.9,3.0,2618.0,1,2
55,186.6,85.3,0,24.47,1,3,4,5.0,0.0,3005.0,4,2
39,180.1,82.4,1,25.4,1,3,0,6.6,0.0,2790.0,1,2
18,158.5,78.4,0,31.23,2,0,4,8.7,1.0,2169.0,4,3
37,179.1,94.3,0,29.41,2,3,4,7.8,2.0,3518.0,4,2
17,172.3,55.1,1,18.58,4,2,0,5.7,5.0,2926.0,1,2
39,163.0,74.7,1,28.1,3,3,1,6.5,3.0,3031.0,1,2
59,184.3,66.4,0,19.56,5,0,0,6.8,4.0,2602.0,0,3
45,164.8,74.5,1,27.44,4,3,1,7.5,4.0,3240.0,1,2
53,186.3,59.4,0,17.13,1,2,2,7.8,0.0,2360.0,3,1
17,176.4,42.8,1,13.75,4,1,1,8.5,4.0,2891.0,0,2
36,181.5,86.4,1,26.23,4,1,3,6.1,5.0,3599.0,3,2
48,176.9,115.4,0,36.87,2,1,2,7.2,2.0,3589.0,3,1
27,176.4,91.4,0,29.37,3,1,2,5.4,4.0,3704.0,3,2
37,172.6,87.6,0,29.41,5,0,1,7.4,4.0,3099.0,2,3
59,161.3,76.6,1,29.45,3,3,1,7.4,3.0,2873.0,1,2
40,170.8,69.2,0,23.74,4,0,3,7.0,5.0,2522.0,3,3
64,181.0,70.3,1,21.45,2,1,2,7.6,3.0,2547.0,3,1
42,178.6,70.1,0,21.95,2,3,1,6.2,3.0,3099.0,1,2
57,176.0,60.3,0,19.48,1,1,0,5.8,1.0,2407.0,0,4
43,150.0,42.2,0,18.76,0,1,4,6.1,0.0,1830.0,4,1
31,167.4,75.6,0,26.96,1,2,4,7.3,2.0,2572.0,4,1
30,166.2,67.0,0,24.26,5,0,1,8.2,6.0,2677.0,0,3
62,156.8,92.5,0,37.64,1,1,3,6.2,1.0,2650.0,3,4
59,180.8,85.3,0,26.08,1,1,1,6.4,2.0,2778.0,0,4
18,150.0,40.0,0,17.78,0,0,3,7.1,1.0,1200.0,3,0
52,180.0,102.8,1,31.73,2,1,2,9.0,2.0,3136.0,3,1
22,186.0,62.7,1,18.14,2,1,0,6.6,1.0,2803.0,0,1
36,167.5,65.5,1,23.35,3,3,2,7.9,3.0,2947.0,3,2
24,169.1,41.8,0,14.62,3,0,0,6.8,3.0,1896.0,0,3
54,181.6,76.8,1,23.28,4,0,3,6.5,4.0,2347.0,3,3
33,160.8,79.4,1,30.69,5,2,1,5.8,5.0,3246.0,1,2
19,177.9,102.9,0,32.49,4,3,1,6.7,5.0,4496.0,1,2
40,159.0,87.3,0,34.54,4,0,1,7.8,3.0,2726.0,4,3
29,155.4,62.9,1,26.06,3,1,1,6.2,4.0,2683.0,0,2
24,173.6,40.1,1,13.31,3,0,2,7.1,2.0,1628.0,3,3
41,169.7,61.6,1,21.41,1,0,2,6.2,2.0,1352.0,3,0
17,150.0,90.8,1,40.35,2,1,3,6.6,3.0,2929.0,3,1
35,187.0,64.8,0,18.55,3,3,0,5.6,3.0,3441.0,1,2
43,165.0,52.3,0,19.21,0,0,0,9.0,0.0,1200.0,0,0
62,176.1,75.0,1,24.19,1,2,0,7.3,2.0,2198.0,1,4
22,189.3,66.0,1,18.42,0,0,1,6.7,0.0,1436.0,0,0
59,173.0,63.8,1,21.32,0,0,2,8.2,0.0,1200.0,3,4
23,185.3,58.5,1,17.05,2,1,4,6.9,2.0,2724.0,4,1
62,159.6,74.0,0,29.02,0,3,4,7.4,1.0,2319.0,4,4
